bigram,count
forest management,965
multi objective,804
supply chain,431
forest land,406
ecosystem services,327
forest planning,289
carbon sequestration,260
objective function,255
trade offs,236
decision making,224
pareto frontier,209
objective optimization,200
solution solution,190
pareto optimal,163
forest biomass,159
land quality,157
case study,157
tree species,138
objective functions,116
supply chains,112
player player,111
carbon storage,111
harvest scheduling,105
co2 emissions,99
risk averse,98
climate change,96
decision makers,95
biomass supply,92
species mingling,92
planning horizon,89
forestry industry,88
non dominated,85
scenario scenario,85
res downloaded,82
personal manuscript,82
manuscript accepted,82
accepted manuscript,82
manuscript prior,82
prior copy,82
copy editing,82
editing page,82
page composition,82
composition differ,82
differ final,82
final official,82
official version,82
version record,82
taishan area,82
forest fire,81
reference point,80
tree level,77
art iculos,77
decision maker,76
record page,75
state owned,73
social benefit,72
forest areas,72
owned forest,71
ecological network,68
yes yes,67
life cycle,67
timber harvest,66
open research,66
research europe,66
protective forests,66
quality forest,65
spatial distribution,65
management planning,65
basal area,65
forest service,64
equation equation,63
flornext pro,63
forest policy,63
energy wood,63
time period,62
mingling index,62
pareto front,61
stock level,61
forest resources,61
emergency rescue,61
policy economics,59
ghg emission,59
management regimes,59
genetic algorithm,58
game theory,58
ecosystem service,56
net present,56
fuel break,56
management alternatives,55
emission savings,55
single objective,54
sub opt,54
forest owners,54
present value,54
seed dispersal,54
forest fires,53
spatial structure,52
downloaded university,52
university winnipeg,52
winnipeg 19for,52
19for personal,52
maritime pine,51
point method,51
forest supply,50
aviation emergency,50
period time,49
soil erosion,49
decision analysis,49
optimal solutions,49
carbon emissions,49
iko iko,48
total cost,48
operational research,47
seed trees,47
collection centers,46
european operational,46
global change,46
timber production,46
alaer city,46
gonz alez,46
timber supply,46
employment cost,45
value risk,45
amount carbon,45
frontiers forests,45
forests global,45
cadenas suministro,45
core area,45
sub criteria,44
management strategies,44
change frontiersin,44
logistics network,44
forest harvesting,43
nash equilibrium,43
economic environmental,43
tropical forest,43
nsga algorithm,43
period period,43
ecological risk,43
local search,42
forest stands,42
multi stage,41
scenario dominance,41
ecological source,41
study area,40
forest research,40
multi criteria,40
particle swarm,40
commercial thinning,40
npv forest,39
ecological corridors,39
environmental impacts,39
harvest site,38
land protection,38
grade forest,38
ghg emissions,38
risk neutral,38
sdc ssdc,38
united states,38
seed tree,38
total area,38
net revenue,38
pile burn,38
plos pone,37
genetic algorithms,37
europe last,37
last updated,37
updated jan,37
harvest revenues,37
stand spatial,37
usda forest,37
simulated annealing,36
stage stochastic,36
sustainable forest,36
community forest,36
seed supply,36
authors response,36
grouse species,36
optimizaci multiobjetivo,36
forest engineering,36
industry transformation,36
supply network,36
cycle assessment,36
merchantable volume,35
research crossref,35
