trigram,count
multi objective optimization,246
solution solution solution,180
forest land quality,152
forest management planning,95
player player player,90
personal manuscript accepted,82
manuscript accepted manuscript,82
accepted manuscript prior,82
manuscript prior copy,82
prior copy editing,82
copy editing page,82
editing page composition,82
page composition differ,82
composition differ final,82
differ final official,82
final official version,82
official version record,82
version record page,75
scenario scenario scenario,75
yes yes yes,74
forest biomass supply,72
state owned forest,71
forest policy economics,70
net present value,69
open research europe,66
quality forest land,64
owned forest areas,61
equation equation equation,60
species mingling index,57
pareto optimal solutions,55
ghg emission savings,53
biomass supply chains,53
res downloaded university,52
downloaded university winnipeg,52
university winnipeg 19for,52
winnipeg 19for personal,52
19for personal manuscript,52
reference point method,50
forest supply chain,48
european operational research,45
frontiers forests global,45
forests global change,45
global change frontiersin,44
sustainable forest management,43
aviation emergency rescue,43
period period period,41
npv forest harvesting,39
forest land protection,38
grade forest land,38
research europe last,37
europe last updated,37
last updated jan,37
supply chain network,36
life cycle assessment,36
biomass supply chain,35
iko iko iko,35
forestry industry transformation,35
usda forest service,35
ecol manag crossref,34
wiley online library,34
amount carbon sequestration,33
forests farmlands lakes,33
farmlands lakes grasslands,33
stand spatial structure,33
forests peer review,32
page open research,32
mountains rivers forests,32
rivers forests farmlands,32
multi stage stochastic,31
forest harvesting irr,31
carbon sequestration ton,31
writing review editing,31
tree growing phase,31
res downloaded uppsala,30
downloaded uppsala universitet,30
uppsala universitet 18for,30
universitet 18for personal,30
18for personal manuscript,30
canopy associated species,30
land quality evaluation,29
objective function values,29
xxx xxxx xxx,28
optimization forest management,28
research europe open,28
europe open research,28
cadenas suministro biocombustibles,28
heilongjiang state owned,28
san pedro alto,27
forest ecology management,27
multi objective forest,27
publisher full text,27
ingenier vol issn,27
vol issn 750x,27
issn 750x issn,27
750x issn universidad,27
issn universidad distrital,27
universidad distrital fjc,27
international forest engineering,27
arizona nevada academy,27
timber cash flow,26
nevada academy science,26
case study area,25
criteria sub criteria,24
community forest management,24
non dominated solutions,24
potential environmental impacts,24
losses due fire,23
forest research crossref,23
multi objective approach,23
biomass boiler steam,23
boiler steam turbine,23
height differential approach,23
umero art iculos,23
oregon state university,23
timber logistics network,23
spatial forest planning,22
objective approach timber,22
approach timber harvest,22
timber harvest scheduling,22
biorefinery supply chain,22
harvest revenues carbon,22
tree basal area,22
land protection zoning,21
economic environmental social,21
group decision making,21
harvest scheduling problem,21
plos pone october,21
pone october plos,21
advances modeling earth,21
modeling earth systems,21
gonz alez gonz,21
alez gonz alez,21
fuel break network,21
non commercial thinning,21
co2 sub opt,20
sub opt profit,20
supply chain design,20
cpx sdc ssdc,20
conditional value risk,20
trade offs among,20
harvesting irr amount,20
irr amount carbon,20
habplanr multi objective,20
objective forest planning,20
multi objective scenario,20
downloaded bioone journals,20
bioone journals arizona,20
journals arizona nevada,20
academy science feb,20
science feb bioone,20
simple local search,19
multiple ecosystem services,19
decision making process,19
canadian forest research,19
player stock level,19
stock level grid,19
october plos habplanr,19
plos habplanr multi,19
forest ecosystem services,19
ecological risk assessment,19
decision analysis articles,19
analysis articles advance,19
decision framework evaluating,19
land quality index,18
forest management optimization,18
forest biorefinery supply,18
relative tolerance parameter,18
piedra jimenez forest,18
jimenez forest policy,18
carbon storage sequestration,18
gesti cadenas suministro,18
belval thompson decision,18
thompson decision framework,18
framework evaluating wildfire,18
evaluating wildfire dispatch,18
wildfire dispatch system,18
dispatch system decision,18
system decision analysis,18
timber supply network,18
case study areas,18
sustainable supply chain,17
biofuel supply chain,17
content courtesy apply,17
courtesy apply rights,17
apply rights reserved,17
operational research xxx,17
research xxx xxxx,17
m5g september european,17
september european operational,17
bushaj buyuktahtakin haight,17
earth systems 2023ms004195,17
cheng downloaded agupubs,17
downloaded agupubs onlinelibrary,17
agupubs onlinelibrary wiley,17
onlinelibrary wiley 2023ms004195,17
wiley 2023ms004195 colegio,17
2023ms004195 colegio postgraduados,17
colegio postgraduados carr,17
postgraduados carr mexico,17
carr mexico texcoco,17
mexico texcoco wiley,17
texcoco wiley online,17
online library onlinelibrary,17
library onlinelibrary wiley,17
onlinelibrary wiley wiley,17
wiley wiley online,17
online library articles,17
library articles creative,17
articles creative commons,17
creative commons license,17
electricity biomass boiler,17
period time period,17
time period time,17
emergency rescue network,17
life community mountains,17
community mountains rivers,17
monte carlo tree,17
carlo tree search,17
feb bioone compromise,17
bioone compromise programming,17
scenario dominance cuts,16
jid eor bushaj,16
eor bushaj buyuktahtakin,16
plos pone january,16
taxonomy optimization forest,16
multi criteria analysis,16
early late successional,16
commons license advances,16
license advances modeling,16
early late pfts,16
jingouling forest farm,16
sustainable operations computers,16
forest fire aviation,16
optimizaci multiobjetivo gesti,16
multiobjetivo gesti cadenas,16
suministro biocombustibles revisi,16
alternative set alternative,16
set alternative set,16
stand canopy closure,16
fuel loading ton,16
loading ton diameter,16
ton diameter size,16
diameter size class,16
usd ranging usd,16
ranging usd usd,16
pile burn method,16
area per project,16
compromise programming poff,16
local beam search,15
multi start local,15
start local search,15
airborne laser scanning,15
risk averse multi,15
averse multi stage,15
point method conservation,15
maritime pine stands,15
forest management review,15
management review assessment,15
ecology management foreco,15
fire aviation emergency,15
johan alexander aranda,15
alexander aranda pinilla,15
javier arturo orjuela,15
arturo orjuela castro,15
biocombustibles revisi literatura,15
downloaded oregon state,15
state university january,15
regional timber supply,15
available online http,15
probability connectivity index,15
neto constantino martins,15
clean prod crossref,14
sub opt sub,14
opt sub opt,14
pone january reference,14
january reference point,14
non dominated points,14
review assessment forestist,14
game theory model,14
range objective function,14
conifer broadleaved mixed,14
cambero sowlati applied,14
sowlati applied energy,14
