año,total_terminos,terminos_unicos,terminos_promedio,top_term,top_frecuencia
2010,1257,30,41.9,forest,142
2012,2327,55,42.30909090909091,management,255
2013,931,30,31.033333333333335,forest,85
2014,2043,30,68.1,biomass,284
2015,5959,129,46.1937984496124,forest,300
2016,1926,30,64.2,biomass,154
2017,2264,57,39.719298245614034,management,117
2018,6323,114,55.46491228070175,forest,558
2019,3925,88,44.60227272727273,forest,179
2020,2757,58,47.53448275862069,forest,158
2021,15465,214,72.26635514018692,forest,1073
2022,2914,59,49.389830508474574,ecological,425
2023,7797,124,62.87903225806452,forest,478
2024,14552,170,85.6,forest,1202
2025,10711,144,74.38194444444444,forest,984
