termino,frecuencia
forest,5915
management,2465
objective,1831
model,1232
optimization,1175
area,973
carbon,964
forests,919
decision,896
planning,857
supply,850
crossref,825
stand,823
multi,818
land,801
spatial,730
tree,684
timber,678
wood,667
pareto,635
species,635
data,633
biomass,624
solution,615
problem,608
period,576
criteria,574
stands,546
harvest,535
objectives,507
value,501
ecological,497
solutions,496
scenario,491
fire,480
production,478
risk,468
figure,457
ecosystem,429
study,427
chain,397
trees,391
network,385
optimal,378
npv,370
total,364
values,354
thinning,351
cost,342
services,334
time,331
number,330
environmental,320
analysis,311
soil,309
economic,301
scenarios,300
index,290
forestry,287
energy,279
algorithm,267
volume,264
social,264
constraints,264
level,259
research,251
quality,250
emissions,250
problems,244
seed,242
trade,235
sequestration,232
system,229
alternatives,229
actors,224
set,221
player,213
function,209
approach,208
type,206
co2,203
table,198
pine,198
point,197
evaluation,191
sub,189
sustainability,184
nsga,184
frontier,182
method,182
treatment,179
software,177
growth,175
points,174
logging,173
costs,168
grouse,165
page,164
manuscript,164
fuel,164
distribution,161
landscape,161
habitat,157
plant,148
case,148
harvesting,145
stage,145
process,144
local,143
transportation,140
design,136
centers,135
climate,134
results,134
offs,133
open,133
bioenergy,130
service,128
systems,127
conservation,126
uncertainty,125
making,124
demand,123
areas,122
biodiversity,122
res,121
tool,119
project,118
fig,117
structure,117
equation,116
indicators,116
per,116
benefit,115
profit,114
wildfire,113
amount,112
programming,112
road,112
taishan,112
reference,111
center,110
transformation,110
capacity,109
protection,108
maximum,108
location,108
sdi,106
impacts,106
state,104
group,103
assessment,103
age,102
university,101
industry,101
search,100
non,100
china,99
art,99
stochastic,98
policy,98
stock,97
efficiency,97
pso,96
rescue,96
flow,95
emergency,94
threshold,94
revenue,93
cutting,92
biofuel,91
information,91
storage,90
facility,89
personal,89
groups,89
cycle,88
final,87
studies,87
mean,87
aviation,87
goal,87
height,85
boreal,85
prior,85
ghg,85
transport,84
http,84
modelo,84
mingling,84
plants,83
differ,83
average,83
tropical,83
industrial,83
preferences,82
downloaded,82
accepted,82
copy,82
editing,82
composition,82
official,82
version,82
genetic,82
particle,82
averse,81
work,81
als,81
projects,81
scheduling,80
protective,80
usd,80
community,79
fmm,79
collection,78
models,78
iculos,77
iko,76
node,76
lcs,76
game,75
cork,74
user,74
scales,74
expected,73
output,73
resources,73
cable,73
owned,73
grade,72
code,72
objetivos,72
criterion,71
yes,71
algorithms,71
connectivity,71
dispatching,71
chains,71
europe,69
wiley,69
corridors,69
treatments,69
indicator,68
development,68
dispersal,68
comments,68
esc,68
zone,68
change,67
oak,67
maker,67
source,67
obtained,66
region,66
year,66
occupancy,66
corridor,66
irr,65
makers,65
phase,65
surveillance,64
dominance,64
flornext,64
authors,64
city,64
zoning,63
infestation,63
plos,63
pro,63
theory,63
emission,63
mopls,62
early,62
multiobjetivo,62
users,61
equilibrium,61
coexistence,61
price,61
hazard,61
utility,60
parameter,60
instances,60
employment,59
savings,59
rotation,59
piles,59
density,58
response,58
logistics,58
canopy,57
reviewer,57
finland,57
suministro,57
eucalyptus,57
cuts,56
erosion,56
break,56
methods,55
approaches,55
mixed,55
issn,55
construction,55
regional,55
umatilla,55
overall,55
best,54
opt,54
owners,54
portugal,54
river,54
dispatch,54
buyuktahtakin,53
pone,53
fates,53
mutation,53
scale,53
plots,53
efficient,53
nash,52
article,52
target,52
cadenas,52
damage,52
winnipeg,52
19for,52
record,52
hefeng,51
selection,51
provided,51
cheng,51
late,51
objetivo,51
real,51
swarm,51
paiva,50
multioptforest,50
specific,50
text,50
green,50
voi,50
biocombustibles,50
gonz,50
mountains,50
distance,50
sdc,49
sustainable,49
jobs,49
optimizaci,49
life,49
trucks,48
product,48
front,48
mainly,47
example,47
alaer,47
site,47
econ,47
team,47
forwarder,47
silvicultural,47
potential,47
cellulose,47
core,47
county,46
ssdc,46
would,46
biorefinery,46
alez,46
bioone,46
review,45
revenues,45
regimes,45
treated,45
burn,45
generation,45
nom,45
ton,44
highest,44
aged,44
plan,44
strategies,44
dataset,44
probability,44
etodos,44
heilongjiang,44
volumen,44
topsis,43
harvested,43
moip,43
habplan,43
thinned,43
dap,43
regime,43
important,43
intensity,43
regeneration,42
job,42
instance,42
fires,42
class,41
hours,41
sites,41
questionnaire,40
habplanr,40
acres,40
earth,40
optimisation,40
electricity,40
universidad,40
umero,40
techniques,39
increase,39
adaptive,39
determination,39
resistance,39
attributes,39
valor,39
basal,39
neutral,38
performance,38
weight,38
water,38
net,38
years,38
domi,38
arizona,38
annealing,37
income,37
extraction,37
elm,37
adjacency,37
modelos,37
initial,37
rivers,37
ming,37
route,37
nodes,37
solid,37
simulated,36
mcda,36
weights,36
associated,36
spruce,36
2023ms004195,36
pfts,36
custom,36
measurements,36
distrital,36
lakes,36
position,36
forestal,36
gis,36
facilities,35
eucalypt,35
roads,35
msfmp,35
online,35
eph,35
prescriptions,35
prescription,35
yarding,35
framework,35
cosecha,35
science,35
content,34
onlinelibrary,34
library,34
standard,34
crossover,34
direct,34
variables,34
ambientales,34
neighbors,34
continuous,34
farmlands,34
angl,34
growing,34
preferred,34
terrain,33
integer,33
xxx,33
constrained,33
iforest,33
differential,33
reformulation,33
operation,33
grasslands,33
pattern,33
uniform,33
competition,33
habitats,33
mip,32
convex,32
sousa,32
maximization,32
members,32
thhi,32
marques,32
curves,32
food,32
ingenier,32
landing,32
sci,32
colorado,32
dbh,32
modeling,32
monitoring,31
stakeholder,31
impact,31
farmland,31
station,31
figura,31
log,31
accepting,31
belval,31
boundaries,31
graph,31
conservacion,31
available,31
mcts,31
multicriteria,30
interest,30
uppsala,30
universitet,30
18for,30
mca,30
seeds,30
population,30
operations,30
cadena,30
conjunto,30
united,30
gn3,30
soluciones,30
considered,30
power,30
pukkala,29
stakeholders,29
recovery,29
surrogate,29
conifer,29
differences,29
gdp,29
hull,29
vol,29
etodo,29
states,29
duration,29
psg,29
linear,28
extracted,28
papers,28
sediment,28
clear,28
mazziotta,28
suppression,28
return,28
big,28
750x,28
programaci,28
unique,28
regulated,28
thompson,28
loading,28
pile,28
products,28
waste,28
resin,28
present,28
compromise,28
technique,27
borges,27
ceph,27
suitability,27
fjc,27
omicos,27
oregon,27
grid,27
input,27
aprovechamiento,27
proposed,27
heat,27
residues,27
constantino,27
nevada,27
academy,27
terminal,27
sls,26
every,26
dominated,26
frontiers,26
tenerife,26
canary,26
eastern,26
decisions,26
resource,26
gas,26
conversion,26
mountain,26
chipped,26
articles,25
ment,25
sisef,25
iii,25
navarro,25
cerrillo,25
accuracy,25
regulation,25
jltv,25
ideal,25
martins,25
terminals,25
plans,24
multiple,24
farm,24
flus,24
uneven,24
algoritmo,24
romero,24
bdnc,24
taxonomy,23
length,23
bosque,23
maderable,23
solucion,23
vehicle,23
start,22
presented,22
combinatorial,22
estimated,22
zhang,22
plantation,22
zona,22
utilities,22
xijk,22
heuristic,21
simple,21
regions,21
levels,21
functions,21
gini,21
cvar,21
given,21
comunidad,21
alternative,21
chipping,21
pascual,20
dujardin,20
cada,20
mexico,19
smts,19
laser,19
perimeter,19
apply,19
balance,19
natural,19
variable,19
improve,19
produccion,19
ingreso,19
ecuacion,19
mutacion,19
mejor,19
austria,19
blocks,18
courtesy,18
rights,18
deadwood,18
international,18
link,18
self,18
ecosistema,18
manejo,18
funcion,18
periodo,18
vienna,18
scanning,17
reserved,17
old,17
unit,17
san,17
pedro,17
alto,17
gn2,17
ratio,17
operator,16
however,14
indeed,13
organization,13
fotakis,13
compartment,13
mosoa,12
couture,11
onkk,8
sequential,8
markov,8
moreover,6
trivi,6
garcia,6
alvarez,5
onen,5
commercial,5
access,5
