Año,documentos,total_citas,media_citas,std_citas,min_citas,max_citas,factor_impacto
2010,1,25,25.0,,25,25,25.0
2012,2,98,49.0,33.94112549695428,25,73,49.0
2013,1,82,82.0,,82,82,82.0
2014,1,38,38.0,,38,38,38.0
2015,5,322,64.4,22.266566866043807,41,101,64.4
2016,1,68,68.0,,68,68,68.0
2017,2,155,77.5,17.67766952966369,65,90,77.5
2018,5,372,74.4,28.69320477046787,40,116,74.4
2019,3,209,69.66666666666667,13.012814197295425,57,83,69.66666666666667
2020,2,178,89.0,2.8284271247461903,87,91,89.0
2021,10,827,82.7,15.492291990248289,61,104,82.7
2022,2,159,79.5,2.1213203435596424,78,81,79.5
2023,5,463,92.6,13.240090634130873,82,115,92.6
2024,9,932,103.55555555555556,21.00661271547076,57,127,103.55555555555556
2025,7,650,92.85714285714286,17.247498093236317,65,112,92.85714285714286
