,2010-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019,2018-2020,2019-2021,2020-2022,2021-2023,2022-2024,2023-2025
constraints,0,0,0,0,0,0,0,37,37,37,0,172,227
supply,55,192,192,251,197,197,205,122,425,303,303,36,36
optimization,63,118,94,121,93,311,262,235,55,80,192,419,649
iculos,0,0,77,77,77,0,0,0,0,0,0,0,0
energy,69,222,222,210,57,57,0,0,0,0,0,0,0
nsga,55,55,0,0,0,0,0,0,0,0,0,95,129
harvest,23,23,168,168,168,34,34,62,114,152,124,196,158
supply chain,8,61,74,139,120,107,66,32,250,218,218,0,0
species,0,0,160,160,160,30,30,30,0,0,64,344,445
pareto,44,44,70,55,93,56,56,46,157,198,170,236,282
stand,32,0,102,102,127,54,89,98,90,95,227,370,505
multi objective,22,22,25,53,79,119,111,108,132,144,236,383,474
cost,0,0,44,44,101,57,123,66,204,138,138,0,37
planning,39,39,25,25,25,108,157,183,222,216,222,300,420
scenario,0,0,0,0,27,83,83,56,192,192,240,48,216
criteria,88,88,0,0,0,89,170,204,316,235,201,29,81
strategies,44,44,0,0,0,0,0,0,0,0,0,0,0
res,0,0,0,0,0,44,121,121,77,0,0,0,0
spatial,104,76,53,53,53,0,0,0,179,179,265,244,394
chains,0,71,71,71,0,0,0,0,0,0,0,0,0
mingling,0,0,84,84,84,0,0,0,0,0,0,0,0
forest management,86,57,44,44,62,190,258,240,202,147,167,305,430
forest land,0,0,0,0,0,0,0,0,406,406,406,0,0
art,0,0,99,99,99,0,0,0,0,0,0,0,0
analysis,74,33,21,21,63,42,42,0,54,104,174,120,70
costs,34,34,110,76,76,0,0,0,0,0,58,58,58
ecosystem,0,0,53,53,108,55,78,23,167,190,190,154,108
energy wood,52,52,52,0,0,0,0,0,0,0,0,0,11
community,59,59,0,0,0,0,0,0,20,20,20,0,0
making,55,30,0,0,0,0,0,0,41,41,69,28,28
risk,0,0,0,0,0,98,98,98,291,343,343,52,27
value,0,0,60,60,93,68,68,84,187,257,237,99,116
trees,0,0,93,93,93,0,0,0,131,131,205,167,167
groups,58,58,0,0,0,0,0,0,31,31,31,0,0
systems,0,0,0,0,0,0,0,105,105,105,22,22,22
carbon,0,0,290,290,352,143,143,116,80,80,45,223,451
environmental,0,66,66,102,36,36,0,97,145,145,48,73,73
quality,0,0,0,0,0,0,0,0,250,250,250,0,0
ecological,0,0,12,12,12,0,0,0,0,425,425,450,60
timber,38,38,141,141,225,139,233,149,124,50,96,172,216
ghg,0,0,0,85,85,85,0,0,0,0,0,0,0
transport,45,45,45,0,0,0,0,0,39,39,39,0,0
period,17,17,11,94,94,115,100,128,252,184,156,34,181
threshold,0,0,94,94,94,0,0,0,0,0,0,0,0
