termino,slope,frecuencia_total,frecuencia_inicial,frecuencia_final,tendencia
forest,153.09890109890108,14049,469,2664,creciente
objective,67.11538461538461,4214,122,1030,creciente
management,50.34615384615384,5655,359,1095,creciente
model,40.010989010989015,2848,30,597,creciente
area,39.1978021978022,2388,54,338,creciente
crossref,33.752747252747255,2262,0,283,creciente
multi objective,31.478021978021975,1908,22,474,creciente
land,31.2912087912088,2030,50,149,creciente
forests,31.274725274725274,2192,0,443,creciente
ecological,30.093406593406595,1396,0,60,creciente
multi,29.906593406593405,2014,52,411,creciente
planning,29.78571428571429,1981,39,420,creciente
optimization,28.230769230769226,2692,63,649,creciente
stand,28.225274725274726,1891,32,505,creciente
decision,27.85714285714286,2258,105,345,creciente
data,27.835164835164832,1085,0,543,creciente
forest management,24.36813186813187,2232,86,430,creciente
fire,22.58241758241758,950,0,421,creciente
spatial,22.296703296703292,1600,104,394,creciente
solution,22.296703296703292,1335,54,395,creciente
forest land,20.076923076923084,1218,0,0,creciente
risk,18.70879120879121,1350,0,27,creciente
figure,18.637362637362642,1244,0,198,creciente
scenario,18.543956043956047,1137,0,216,creciente
pareto,18.324175824175825,1507,44,282,creciente
thinning,18.115384615384613,749,0,326,creciente
species,17.615384615384613,1423,0,445,creciente
forestry,17.576923076923077,838,0,171,creciente
tree,17.55494505494506,1877,41,229,creciente
stands,17.252747252747252,1219,0,337,creciente
problem,17.043956043956047,1674,42,154,creciente
optimal,16.428571428571427,850,32,228,creciente
soil,15.785714285714286,824,0,90,creciente
objectives,15.7032967032967,1214,51,258,creciente
time,14.994505494505496,817,0,138,creciente
value,14.802197802197803,1329,0,116,creciente
seed,14.626373626373624,484,0,242,creciente
trees,13.598901098901102,1080,0,167,creciente
ecosystem,13.532967032967035,1179,0,108,creciente
constraints,13.428571428571427,510,0,227,creciente
player,12.87362637362637,426,0,213,creciente
solutions,12.461538461538463,1134,49,255,creciente
quality,12.362637362637367,750,0,0,creciente
period,12.351648351648354,1383,17,181,creciente
actors,11.07692307692308,672,0,0,creciente
study,10.664835164835164,859,25,241,creciente
criteria,10.543956043956047,1501,88,81,creciente
index,9.80769230769231,870,0,81,creciente
production,9.16483516483517,1368,0,57,creciente
carbon,9.010989010989007,2213,0,451,creciente
research,8.873626373626374,620,0,105,creciente
services,8.417582417582418,905,0,97,creciente
wood,8.071428571428573,1613,65,226,creciente
harvest,7.532967032967033,1424,23,158,creciente
scenarios,6.741758241758244,740,0,80,creciente
network,6.725274725274728,1085,23,83,creciente
decision making,6.681318681318681,555,47,81,creciente
analysis,6.659340659340659,818,74,70,creciente
npv,6.456043956043956,785,0,211,creciente
sustainability,6.021978021978023,520,0,32,creciente
cost,6.016483516483519,952,0,37,creciente
timber,6.005494505494507,1762,38,216,creciente
values,5.917582417582419,799,47,101,creciente
systems,5.274725274725276,381,0,22,creciente
environmental,4.445054945054948,887,0,73,creciente
chain,4.4340659340659405,1191,0,0,creciente
economic,3.7417582417582462,770,0,128,creciente
supply chain,3.543956043956049,1293,8,0,creciente
nsga,3.538461538461537,334,55,129,creciente
alternatives,3.1373626373626387,646,0,96,creciente
method,2.620879120879122,525,0,43,creciente
point,2.587912087912089,499,0,46,creciente
emissions,2.17582417582418,750,35,0,creciente
manuscript,1.7142857142857162,492,0,0,creciente
page,1.7142857142857162,492,0,0,creciente
making,1.6978021978021973,292,55,28,creciente
res,1.2692307692307707,363,0,0,creciente
supply,0.47802197802199053,2514,55,36,creciente
bioone,-1.5164835164835173,46,46,0,decreciente
costs,-1.7802197802197794,504,34,58,decreciente
transport,-1.78021978021978,252,45,0,decreciente
local,-1.7967032967032959,360,69,0,decreciente
groups,-1.9725274725274722,209,58,0,decreciente
social,-2.0769230769230735,736,0,58,decreciente
species mingling,-2.175824175824174,276,0,18,decreciente
community,-2.576923076923076,178,59,0,decreciente
strategies,-2.6593406593406583,88,44,0,decreciente
ghg,-2.8021978021978002,255,0,0,decreciente
studies,-3.4945054945054936,261,0,0,decreciente
supply chains,-3.7087912087912076,336,0,0,decreciente
art iculos,-3.8076923076923075,231,0,0,decreciente
iculos,-3.8076923076923075,231,0,0,decreciente
energy wood,-3.9230769230769225,167,52,11,decreciente
mingling,-4.153846153846152,252,0,0,decreciente
biomass supply,-4.450549450549448,276,0,0,decreciente
threshold,-4.648351648351648,282,0,0,decreciente
chains,-4.681318681318682,213,0,0,decreciente
art,-4.895604395604395,297,0,0,decreciente
assessment,-5.384615384615382,281,28,0,decreciente
bioenergy,-6.692307692307686,390,0,0,decreciente
forest biomass,-10.615384615384611,477,8,0,decreciente
energy,-17.653846153846146,837,69,0,decreciente
biomass,-21.917582417582402,1789,35,56,decreciente
