,forest management,multi objective,supply chain,forest land,ecosystem services,forest planning,carbon sequestration,objective function,trade offs,decision making,pareto frontier,objective optimization,solution solution,pareto optimal,forest biomass,case study,land quality,tree species,objective functions,supply chains
2010,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,57.0,22.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,23.0,0.0,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,68.0
2015,44.0,25.0,13.0,0.0,44.0,14.0,37.0,0.0,17.0,0.0,0.0,4.0,0.0,12.0,0.0,16.0,0.0,56.0,5.0,0.0
2016,0.0,28.0,73.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,15.0,0.0,19.0,0.0,21.0,0.0,0.0,0.0,17.0
2017,18.0,26.0,34.0,0.0,34.0,0.0,0.0,0.0,62.0,0.0,11.0,17.0,0.0,12.0,0.0,41.0,0.0,0.0,0.0,0.0
2018,172.0,65.0,0.0,0.0,14.0,52.0,33.0,12.0,0.0,18.0,20.0,23.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,68.0,20.0,32.0,0.0,17.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
2020,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,134.0,89.0,218.0,406.0,108.0,27.0,0.0,86.0,20.0,51.0,85.0,0.0,0.0,0.0,0.0,28.0,157.0,0.0,15.0,27.0
2022,13.0,32.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
2023,20.0,115.0,0.0,0.0,0.0,25.0,0.0,0.0,11.0,35.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
2024,272.0,236.0,0.0,0.0,110.0,71.0,108.0,78.0,95.0,46.0,53.0,81.0,190.0,82.0,0.0,8.0,0.0,37.0,83.0,0.0
2025,138.0,123.0,0.0,0.0,0.0,50.0,82.0,48.0,31.0,0.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,14.0,13.0,0.0
