,forest,management,objective,model,optimization,area,carbon,forests,decision,planning,supply,crossref,stand,multi,land,spatial,tree,timber,wood,pareto
2010,142.0,104.0,60.0,0.0,0.0,54.0,0.0,0.0,66.0,0.0,0.0,0.0,32.0,0.0,25.0,28.0,41.0,0.0,0.0,0.0
2012,242.0,255.0,42.0,0.0,41.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,52.0,25.0,76.0,0.0,38.0,0.0,29.0
2013,85.0,0.0,20.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,15.0
2014,224.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,27.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0
2015,300.0,125.0,19.0,19.0,17.0,11.0,290.0,110.0,0.0,25.0,0.0,0.0,102.0,42.0,0.0,53.0,174.0,141.0,25.0,55.0
2016,94.0,0.0,79.0,50.0,49.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,79.0,117.0,41.0,61.0,27.0,0.0,62.0,23.0,0.0,0.0,83.0,0.0,25.0,19.0,0.0,0.0,0.0,84.0,0.0,38.0
2018,558.0,368.0,131.0,53.0,235.0,43.0,81.0,30.0,156.0,108.0,0.0,159.0,29.0,67.0,29.0,0.0,0.0,55.0,63.0,18.0
2019,179.0,100.0,44.0,112.0,0.0,85.0,0.0,27.0,27.0,49.0,122.0,93.0,35.0,23.0,0.0,0.0,0.0,94.0,0.0,0.0
2020,158.0,26.0,48.0,0.0,0.0,119.0,35.0,71.0,31.0,26.0,0.0,38.0,34.0,0.0,34.0,0.0,72.0,0.0,71.0,28.0
2021,1073.0,239.0,277.0,310.0,55.0,166.0,45.0,178.0,179.0,147.0,303.0,252.0,21.0,185.0,482.0,179.0,168.0,30.0,151.0,129.0
2022,117.0,36.0,40.0,0.0,25.0,157.0,0.0,37.0,26.0,43.0,0.0,0.0,40.0,19.0,57.0,0.0,0.0,20.0,0.0,41.0
2023,478.0,106.0,183.0,52.0,112.0,83.0,0.0,65.0,196.0,32.0,0.0,95.0,166.0,148.0,0.0,86.0,136.0,46.0,0.0,0.0
2024,1202.0,701.0,577.0,242.0,282.0,87.0,223.0,191.0,39.0,225.0,36.0,163.0,164.0,138.0,0.0,158.0,93.0,106.0,64.0,195.0
2025,984.0,288.0,270.0,303.0,255.0,168.0,228.0,187.0,110.0,163.0,0.0,25.0,175.0,125.0,149.0,150.0,0.0,64.0,162.0,87.0
