año,tipo,articulos,terminos,aristas,grado_promedio,densidad,centralidad_promedio
2010,bigram,1,30,30,1.94,0.0645,0.0645
2012,bigram,2,60,60,1.94,0.0317,0.0317
2013,bigram,1,30,30,1.94,0.0645,0.0645
2014,bigram,1,30,30,1.94,0.0645,0.0645
2015,bigram,5,143,150,2.03,0.0138,0.0138
2016,bigram,1,30,30,1.94,0.0645,0.0645
2017,bigram,2,58,60,2.0,0.0339,0.0339
2018,bigram,5,134,150,2.16,0.0156,0.0156
2019,bigram,3,90,90,1.94,0.021,0.021
2020,bigram,2,60,60,1.94,0.0317,0.0317
2021,bigram,10,275,300,2.11,0.0074,0.0074
2022,bigram,2,59,60,1.97,0.0328,0.0328
2023,bigram,5,144,150,2.01,0.0136,0.0136
2024,bigram,9,224,270,2.32,0.01,0.01
2025,bigram,7,192,210,2.11,0.0107,0.0107
2010,trigram,1,30,30,1.94,0.0645,0.0645
2012,trigram,2,60,60,1.94,0.0317,0.0317
2013,trigram,1,30,30,1.94,0.0645,0.0645
2014,trigram,1,30,30,1.94,0.0645,0.0645
2015,trigram,5,150,150,1.94,0.0126,0.0126
2016,trigram,1,30,30,1.94,0.0645,0.0645
2017,trigram,2,60,60,1.94,0.0317,0.0317
2018,trigram,5,146,150,1.99,0.0132,0.0132
2019,trigram,3,90,90,1.94,0.021,0.021
2020,trigram,2,60,60,1.94,0.0317,0.0317
2021,trigram,10,289,296,1.98,0.0066,0.0066
2022,trigram,2,59,60,1.97,0.0328,0.0328
2023,trigram,5,149,150,1.95,0.0127,0.0127
2024,trigram,9,248,270,2.1,0.0082,0.0082
2025,trigram,7,204,210,1.99,0.0095,0.0095
