concepto,comunidad,grado,grado_centralidad,intermediacion,cercania,pagerank
forest,0,92,0.9292929292929294,0.1111111111111111,0.9327894327894328,0.14735662598611865
land,0,15,0.15151515151515152,0.00041228612657184083,0.5272288098375055,0.023610080266036695
area,0,34,0.3434343434343435,0.064728921871779,0.5915250061591525,0.020021283147426634
forests,0,35,0.3535353535353536,0.0474129045557617,0.5951539939270001,0.0185979152234265
crossref,0,34,0.3434343434343435,0.07091321377035663,0.5988277840129692,0.017926324764603523
spatial,0,24,0.24242424242424243,0.016903731189445475,0.5575293161500058,0.015812698831021196
quality,0,11,0.11111111111111112,0.0020614306328592042,0.5160111755856437,0.011744024745633824
soil,0,12,0.12121212121212122,0.0032982890125747267,0.5187705936369038,0.011485660615333418
ecological,0,10,0.10101010101010102,0.0,0.4292482345579691,0.008877373212440273
study,0,11,0.11111111111111112,0.0,0.5132809577254022,0.007026590047687007
evaluation,0,6,0.06060606060606061,0.0,0.4974876974876975,0.0067101892765483095
index,0,11,0.11111111111111112,0.001443001443001443,0.5132809577254022,0.00622182201667826
figure,0,11,0.11111111111111112,0.005772005772005772,0.5160111755856437,0.006063654770326797
network,0,9,0.09090909090909091,0.009070294784580499,0.5160111755856437,0.005463577762672293
constraints,0,4,0.04040404040404041,0.0,0.49243706096497974,0.0033988697060311863
system,0,3,0.030303030303030304,0.0,0.49243706096497974,0.0031160051503862363
algorithm,0,3,0.030303030303030304,0.00494743351886209,0.4899500051015203,0.0030523095419999744
grouse,0,4,0.04040404040404041,0.002886002886002886,0.4899500051015203,0.003026433466424565
nsga,0,3,0.030303030303030304,0.002473716759431045,0.48748794477437696,0.0028546182079786657
forestry,0,2,0.020202020202020204,0.0,0.48505050505050507,0.0027399976680753313
sustainability,0,3,0.030303030303030304,0.0,0.4899500051015203,0.0026417727374869983
pine,0,2,0.020202020202020204,0.0,0.48505050505050507,0.002251449574311165
logging,0,1,0.010101010101010102,0.0,0.482637318458214,0.0020801348316309668
costs,0,1,0.010101010101010102,0.0,0.482637318458214,0.0018145312970851454
points,0,1,0.010101010101010102,0.0,0.482637318458214,0.0017500346124411763
management,1,61,0.6161616161616162,0.08554937126365697,0.7185933408155631,0.05677204045192294
optimization,1,34,0.3434343434343435,0.06411049268192125,0.5988277840129692,0.020119130932561645
decision,1,21,0.21212121212121213,0.0696763553906411,0.5480796667237345,0.014226376385656391
