bigram,count
basal area,39
forest management,29
arizona nevada,27
nevada academy,27
forest service,27
academy science,26
compromise programming,26
decision making,24
tree basal,22
downloaded bioone,20
bioone journals,20
journals arizona,20
science feb,20
feb bioone,20
usda forest,20
bioone compromise,17
management objectives,17
ponderosa pine,17
programming poff,16
response functions,16
preferred solution,15
decision variable,15
objective categories,14
tree density,12
decision makers,11
modeling effort,11
ecosystem management,10
achievement level,10
stand density,10
weighting scheme,10
