trigram,count
arizona nevada academy,27
nevada academy science,26
tree basal area,22
downloaded bioone journals,20
bioone journals arizona,20
journals arizona nevada,20
academy science feb,20
science feb bioone,20
usda forest service,18
feb bioone compromise,17
bioone compromise programming,17
compromise programming poff,16
density preferred solution,10
tree density preferred,9
southwestern ponderosa pine,8
ponderosa pine forest,6
forest vegetation simulator,6
page size inches,6
size inches wide,6
multi objective decision,5
objective decision making,5
forest ecosystem management,5
criteria decision making,5
decision variable values,5
equal varying extreme,5
coconino national forest,5
preferred solution lower,5
solution lower tree,5
lower tree density,5
preferred solution higher,5
