bigram,count
forest planning,27
spatial nsga,24
multi objective,22
constrained nsga,21
pareto front,18
forest policy,15
objective optimization,15
old forest,15
land unit,15
policy economics,14
genetic algorithm,13
genetic algorithms,13
spatial forest,12
local solutions,12
timber harvest,11
spatial operator,11
optimal solution,11
harvest scheduling,9
time period,9
optimal solutions,8
non dominated,8
cut time,8
forest compactness,7
optimization problems,7
fotakis forest,7
planning problem,7
land units,7
timber volume,6
unconstrained problem,6
planning problems,6
