trigram,count
forest policy economics,14
multi objective optimization,14
spatial forest planning,12
old forest compactness,7
fotakis forest policy,7
forest planning problem,7
optimal solution timber,6
cut time period,5
time period cut,5
period cut time,5
forestry natural environment,4
harvest scheduling problem,4
forest planning problems,4
overall constraint violation,4
timber sediment tons,4
sediment tons old,4
tons old forest,4
fig optimal solutions,4
optimal solutions obtained,4
problem optimal solution,4
solution timber harvesting,4
timber harvesting optimal,4
harvesting optimal solution,4
optimal solution sedimentation,4
solution sedimentation levels,4
genetic algorithm multi,3
algorithm multi objective,3
aristotle university thessaloniki,3
spatial temporal arrangement,3
policy economics fig,3
