bigram,count
forest management,57
community forest,36
management strategies,30
adaptive management,27
stakeholder groups,24
decision making,23
criteria indicators,22
multi criteria,20
manage ment,20
management plan,18
criteria analysis,17
sustainable forest,16
mana gement,14
case study,14
khadka vacik,13
http sisef,13
sisef iforest,13
sisef http,12
management strategy,11
local facilitators,11
priority rank,11
supporting community,10
geometric mean,10
hierarchy process,9
indicators sustainable,9
long term,9
management options,9
members groups,9
analysis mca,8
forest user,8
