trigram,count
community forest management,24
multi criteria analysis,16
http sisef iforest,13
sisef http sisef,12
supporting community forest,9
sustainable forest management,9
criteria analysis mca,8
analytic hierarchy process,7
forest manage ment,7
geometric mean synthesized,7
priority rank priority,7
rank priority rank,7
forest ecology management,7
indicators sustainable forest,6
sisef iforest iforest,6
iforest iforest khadka,6
iforest khadka vacik,6
khadka vacik iforest,6
iforest sisef http,6
ecology management foreco,6
criteria indicators sustainable,6
shree gyneshwar community,5
gyneshwar community forest,5
passive adaptive management,5
criteria analysis supporting,5
analysis supporting community,5
national local laws,5
long term social,5
stake holder groups,5
management strategies iii,5
