bigram,count
energy wood,52
co2 emissions,22
supply network,12
solid energy,12
biomass bioenerg,11
forest res,10
solid chipped,9
vienna austria,8
forest biomass,8
supply chain,8
forest fuel,8
optimization model,8
university natural,7
natural resources,7
resources life,7
life sciences,7
shipping stations,7
heating plants,7
wood supply,7
objective function,7
water content,7
revenue solid,7
austria institute,6
case study,6
oven dry,6
institute forest,5
forest engineering,5
pareto optimal,5
transport mode,5
forest plant,5
