trigram,count
solid energy wood,12
university natural resources,7
natural resources life,7
resources life sciences,7
revenue solid energy,7
energy wood supply,6
institute forest engineering,5
scand forest res,5
vienna vienna austria,5
vienna austria institute,5
multi objective optimization,4
profit co2 emissions,4
per oven dry,4
austria institute forest,4
forest engineering university,4
engineering university natural,4
life sciences german,4
multi criteria optimization,3
supply energy wood,3
volume energy wood,3
maxi mizing profit,3
mizing profit minimizing,3
profit minimizing co2,3
minimizing co2 emissions,3
objective optimization model,3
energy wood solid,3
xijk pwt twh,3
cijk xijk cijk,3
xijk cijk xijk,3
terminals shipping stations,3
