bigram,count
carbon storage,53
ecosystem services,44
harvest revenues,37
carbon sequestration,37
management regimes,36
management regime,31
forest management,30
carbon measurements,30
forest stands,24
revenues carbon,22
storage sequestration,18
climate change,17
trade offs,17
boreal forests,15
final harvest,15
highest value,15
carbon services,14
timber production,14
rotation length,13
carbon sequestered,13
tree species,12
timber carbon,12
worst stands,12
pareto optimal,12
boreal forest,11
amount carbon,11
trivino ecosystem,10
climate regulation,10
set aside,10
production carbon,9
