trigram,count
harvest revenues carbon,22
carbon storage sequestration,18
forest management regimes,10
trivino ecosystem services,10
timber production carbon,9
thinning final harvest,8
carbon storage carbon,7
value harvest revenues,7
provided highest value,7
revenues carbon measurements,7
old growth forests,6
green tree retention,6
average rotation length,6
rotation length years,6
pareto optimal plans,6
storage carbon sequestration,5
win win situations,5
finnish forest research,5
forest research institute,5
net present value,5
alternative management regimes,5
multiple ecosystem services,5
carbon sequestered non,5
sequestered non extracted,5
values npv carbon,5
revenues carbon storage,4
biodiversity ecosystem services,4
climate change mitigation,4
aspects climate regulation,4
production carbon storage,4
