bigram,count
art iculos,77
cadenas suministro,45
optimizaci multiobjetivo,36
universidad distrital,35
suministro biocombustibles,34
issn 750x,28
ingenier vol,28
vol issn,27
750x issn,27
issn universidad,27
distrital fjc,27
econ omicos,27
umero art,23
art iculo,19
gesti cadenas,18
ambientales sociales,18
revisi literatura,17
aranda pinilla,16
johan alexander,16
orjuela castro,16
javier arturo,16
multiobjetivo gesti,16
biocombustibles revisi,16
multi objective,16
alexander aranda,15
arturo orjuela,15
supply chain,13
econ omico,13
fjc optimizaci,13
ultiples objetivos,13
