trigram,count
cadenas suministro biocombustibles,28
ingenier vol issn,27
vol issn 750x,27
issn 750x issn,27
750x issn universidad,27
issn universidad distrital,27
universidad distrital fjc,27
umero art iculos,23
gesti cadenas suministro,18
optimizaci multiobjetivo gesti,16
multiobjetivo gesti cadenas,16
suministro biocombustibles revisi,16
johan alexander aranda,15
alexander aranda pinilla,15
javier arturo orjuela,15
arturo orjuela castro,15
biocombustibles revisi literatura,15
distrital fjc optimizaci,13
fjc optimizaci multiobjetivo,13
econ omicos ambientales,13
aranda pinilla javier,13
pinilla javier arturo,13
distrital fjc johan,11
fjc johan alexander,11
total art iculos,11
objetivos econ omicos,10
constraint constraint constraint,10
omicos ambientales sociales,9
modelos matem aticos,9
fuente elaboraci propia,9
