bigram,count
cable logging,25
oregon state,24
state university,24
cable corridor,21
cable corridors,19
forest engineering,17
international forest,16
downloaded oregon,15
university january,15
log pickup,15
pickup point,14
grid cell,13
grid cells,13
timber volume,12
network algorithm,11
transportation costs,11
fixed costs,11
heuristic network,10
timber harvest,10
user defined,9
variable costs,9
road segments,8
logging feasibility,8
existing roads,8
planning area,7
engineering diamonds,7
january diamonds,7
diamonds international,7
yarding costs,7
truck transportation,7
