trigram,count
oregon state university,23
international forest engineering,16
downloaded oregon state,15
state university january,15
log pickup point,13
heuristic network algorithm,10
forest engineering diamonds,7
university january diamonds,7
january diamonds international,7
diamonds international forest,7
costs fixed costs,6
node name representing,6
cable logging layout,5
university january international,5
january international forest,5
alternative cable corridors,4
cost minimization network,4
road construction costs,4
kgf kgf kgf,4
state university corvallis,4
application heuristic network,3
network algorithm cable,3
algorithm cable logging,3
logging layout design,3
swiss federal institute,3
cable logging layouts,3
minimization network problem,3
harvest planning area,3
timber harvest layouts,3
logging transportation costs,3
