bigram,count
forest planning,14
self organization,13
stand compartment,11
multi objective,9
harvest scheduling,9
pareto front,9
harvest years,8
years harvest,8
timber harvest,7
ecological informatics,6
timber volume,6
transition rule,6
fotakis sidiropoulos,6
timber production,6
spatial temporal,5
scheduling problem,5
objective functions,5
forest management,5
old forest,5
self organizing,5
dead wood,5
time period,5
solution timber,5
optimal solution,5
optimization algorithm,4
spatial transition,4
objective optimization,4
fotakis ecological,4
study area,4
elatia forest,4
