trigram,count
harvest years harvest,8
years harvest years,7
harvest scheduling problem,5
spatial transition rule,4
fotakis ecological informatics,4
spatial forest planning,3
multi objective optimization,3
objective forest planning,3
intermediate solution optimal,3
indicative intermediate solution,3
optimal solution timber,3
fewer tons sediments,3
multi objective spatial,2
objective spatial forest,2
forest harvest scheduling,2
objectives maximization timber,2
optimization algorithm self,2
algorithm self organization,2
self organization applied,2
sum objective functions,2
objective functions produces,2
functions produces pareto,2
produces pareto front,2
manages overcome local,2
overcome local character,2
local character transition,2
character transition rule,2
transition rule achieve,2
rule achieve global,2
achieve global emergent,2
