bigram,count
species mingling,74
mingling index,62
tree species,44
threshold accepting,31
united states,29
initial threshold,26
tree level,25
uneven aged,24
alternative set,18
basal area,17
reference tree,16
case study,16
oak hickory,16
mixed conifer,16
rate change,16
set alternative,16
eastern united,13
iterations per,13
per threshold,13
ecol manag,13
western united,12
non unique,12
level harvest,11
maximizing species,11
solutions generated,11
threshold rate,11
change iterations,11
stand level,10
unique tree,10
forest management,9
