trigram,count
species mingling index,57
alternative set alternative,16
set alternative set,16
eastern united states,13
western united states,12
maximizing species mingling,11
initial threshold rate,11
change iterations per,11
tree level harvest,10
threshold rate change,10
rate change iterations,10
unique tree species,9
iterations per threshold,9
mixed conifer forest,8
index value md4,8
average species mingling,7
uneven aged mixed,7
aged mixed conifer,7
united states oak,7
states oak hickory,7
mixed conifer stand,7
unique oak species,7
oak hickory forest,6
uneven aged oak,6
aged oak hickory,6
oak hickory stand,6
hickory stand georgia,6
stand georgia eastern,6
georgia eastern united,6
united states mixed,6
