bigram,count
supply chain,73
social benefit,72
ghg emission,59
emission savings,55
period period,43
biorefinery supply,29
multi objective,28
biomass boiler,25
objective function,24
british columbia,23
williams lake,23
boiler steam,23
steam turbine,23
hours work,22
electricity biomass,22
case study,21
forest biorefinery,21
ghg emissions,21
pareto optimal,19
biomass type,19
optimal solutions,18
job class,18
supply chains,17
cambero sowlati,17
heat electricity,17
applied energy,16
social benefits,15
objective optimization,15
unit biomass,15
biofuel type,15
