trigram,count
ghg emission savings,53
period period period,41
biomass boiler steam,23
boiler steam turbine,23
biorefinery supply chain,22
forest biorefinery supply,18
electricity biomass boiler,17
cambero sowlati applied,14
sowlati applied energy,14
biomass oil heater,14
oil heater orc,14
multi objective optimization,13
maximum ghg emission,12
maximum social benefit,12
pareto optimal solutions,11
pellet plant year,11
unit biomass type,10
emission savings social,10
max ghg emission,10
emission savings max,10
supply chain optimization,9
class class class,9
forest vulnerability index,9
total hours work,9
steam turbine electricity,9
turbine electricity biomass,9
plant odt day,9
maximum npv maximum,9
max soc max,9
hours work required,8
