bigram,count
trade offs,52
case study,41
ecosystem services,34
overall trade,25
overall utility,21
management alternatives,20
available http,20
goal scenarios,19
forest management,18
study areas,18
stand types,17
ecosystem service,13
mountain forests,13
timber production,13
management regimes,13
langner ecosystem,12
shiroka laka,12
goal scenario,12
goal preferences,12
study area,11
picea abies,11
isw isw,11
european mountain,10
carbon storage,10
multi criteria,9
criteria decision,9
multifunctional goal,9
climate change,9
nom nom,9
multi objective,8
