trigram,count
case study areas,18
overall trade offs,14
langner ecosystem services,12
case study area,11
http linkinghub retrieve,8
linkinghub retrieve pii,8
multi criteria decision,7
protection gravitational hazards,7
shiroka laka bulgaria,7
available http linkinghub,7
criteria decision analysis,6
austria shiroka laka,6
representative stand types,6
goal scenario gs0,6
nom nom nom,6
european mountain regions,5
multifunctional goal scenarios,5
isw isw isw,5
bird habitat quality,5
linear value function,5
value function max,5
stand types entire,5
related trade offs,5
reg environ change,5
available http link,5
trade offs multi,4
offs multi objective,4
value trade offs,4
timber production carbon,4
multiple ecosystem services,4
