bigram,count
logistics network,44
supply chain,34
timber logistics,28
network design,25
carbon emissions,24
total cost,21
multi objective,18
objective optimization,17
regional timber,16
supply ratio,16
co2 emissions,14
jiangle county,14
timber supply,13
pareto optimal,12
green supply,11
pareto frontier,11
ryerson university,10
university library,10
trade offs,10
chain network,10
pareto solutions,9
downloaded ryerson,9
library september,9
carbon price,8
chain design,8
point point,8
forest research,7
emissions total,7
decision makers,7
design management,6
