bigram,count
reference point,63
multi objective,53
point method,51
decision maker,26
objective optimization,23
non dominated,23
linear programming,18
plos pone,16
pone january,16
method conservation,15
dominated points,15
yann dujardin,14
january reference,14
pareto frontier,13
optimization problems,12
decision making,11
decision problems,10
objective combinatorial,10
problems conservation,9
preferences decision,9
combinatorial problems,9
weighted sum,9
every cell,9
single objective,8
combinatorial optimization,8
dominated point,8
aggregation function,8
explicit approach,8
solving multi,7
allocation problem,7
