trigram,count
reference point method,50
multi objective optimization,19
plos pone january,16
point method conservation,15
pone january reference,14
january reference point,14
non dominated points,14
multi objective combinatorial,10
preferences decision maker,8
objective combinatorial optimization,8
non dominated point,8
solving multi objective,6
objective optimization problems,6
resource allocation problem,6
approach reference point,5
weighted sum method,5
optimization problems conservation,4
decision maker preferences,4
solve multi objective,4
single objective optimization,4
spatial resource allocation,4
multi objective problems,4
markov decision process,4
linear programming formulation,4
formulation reference point,4
integer linear programming,4
dynamic problem conservation,4
reference point approach,4
conservation reference point,3
yann dujardin iadine,3
