bigram,count
yes yes,67
flornext pro,63
forest management,40
maritime pine,23
losses due,23
due fire,23
volume growth,21
lomba zif,18
carbon sequestration,17
wood extracted,16
scenarios tested,16
pine stands,15
discount rate,15
management plans,14
ecosystem services,14
decision support,14
optimization process,14
wood extraction,14
maximization npv,14
growth rate,13
multi objective,12
objective function,12
management objectives,12
prices wood,12
management objective,12
zif portugal,12
peer review,11
net present,10
present value,10
fire occurrence,10
