trigram,count
yes yes yes,65
losses due fire,23
maritime pine stands,15
lomba zif portugal,12
net present value,10
minimization losses due,9
volume growth rate,9
climate peer review,9
scenarios tested lomba,9
tested lomba zif,9
management objective scenarios,9
objective scenarios tested,9
standard standard standard,9
growth yield models,8
scenario scenario scenario,8
probability fire occurrence,7
forest management plans,7
decision support systems,7
application flornext pro,7
prices wood discount,7
maximum number thinnings,7
present value npv,6
volume wood extracted,6
peer review figure,6
wood discount rate,6
minimum extraction per,6
scenario targeting maximization,6
scenario maximization npv,6
zif portugal figure,6
pine stands overall,6
