bigram,count
forest management,83
research crossref,35
forest research,33
forest planning,32
optimization forest,23
harvest scheduling,21
management optimization,18
taxonomy optimization,16
review assessment,16
management review,15
assessment forestist,14
economics crossref,14
optimization studies,13
caglayan taxonomy,13
canadian forest,12
forest science,12
forest policy,11
science crossref,11
policy economics,10
management crossref,10
management planning,9
scandinavian forest,9
operations research,9
taxonomic framework,8
non financial,8
uneven aged,8
forest structure,7
sub categories,7
linear programming,7
financial objectives,7
