trigram,count
forest research crossref,23
optimization forest management,20
forest management optimization,18
taxonomy optimization forest,16
forest management review,15
management review assessment,15
review assessment forestist,14
caglayan taxonomy optimization,13
canadian forest research,11
forest policy economics,10
forest science crossref,10
scandinavian forest research,9
policy economics crossref,9
management optimization studies,8
decision support systems,6
adaptive forest management,6
forest management planning,6
annals operations research,6
forest ecology management,6
non financial objectives,5
forest harvest scheduling,5
silva fennica crossref,5
forest research revue,5
research revue canadienne,5
revue canadienne recherche,5
ecology management crossref,5
orman amenajmaninda optimizasyon,4
diaz balteiro romero,4
aged uneven aged,4
forest research forest,4
