bigram,count
forest management,31
land erosion,19
risk averse,17
carbon sequestration,16
forest policy,14
npv values,14
policy economics,13
decision makers,13
alvarez miranda,13
oper res,12
economics xxx,11
xxx xxxx,11
xxxx xxx,11
xxx xxx,11
forest planning,11
road building,11
pareto frontiers,10
net present,9
miranda forest,9
cvar msfmp,9
sustainable forest,8
present value,8
planning horizon,8
multicriteria stochastic,7
decision making,7
road network,7
exit points,7
pareto frontier,7
single objective,7
weak land,7
