trigram,count
forest policy economics,13
policy economics xxx,11
economics xxx xxxx,11
xxx xxxx xxx,11
xxxx xxx xxx,11
alvarez miranda forest,9
miranda forest policy,9
net present value,8
eur oper res,6
carbon sequestration land,5
stochastic goal programming,5
solving cvar msfmp,5
land erosion criterion,5
fig pareto frontiers,5
sequestration land erosion,4
eucalyptus forest located,4
trade offs among,4
harvesting road building,4
forest located central,4
sustainable forest management,4
period scenario occurs,4
forest management policy,4
conditional value risk,4
xxx xxx fig,4
roads weak land,4
sheppard meitner spilsbury,3
stochastic forest management,3
road building schedule,3
forest management policies,3
harvested timber stored,3
