bigram,count
san pedro,17
pedro alto,17
conservacion ecosistema,13
algoritmo genetico,12
forestal maderable,11
cosecha comercial,11
volumen cosechado,11
optimizacion produccion,10
produccion forestal,10
maderable conservacion,10
genetic algorithm,10
zona aprovechamiento,10
horizonte planeacion,10
volumen maderable,10
funcion objetivo,10
mutacion multiple,10
millones pesos,10
bosque optimizacion,9
comunidad san,9
algoritmos geneticos,8
cosecha anual,8
tratamiento silvicola,8
mejor solucion,8
gn2 gn3,7
manejo forestal,7
tipo habitat,7
tecnica gn3,7
mejor valor,7
genetico mutacion,7
aprovechamiento intensivo,6
