bigram,count
forest management,68
goal programming,27
silvicultural alternatives,24
diaz balteiro,22
planning horizon,20
case study,17
ecosystem services,17
manag crossref,17
pay matrix,14
decision making,13
forest planning,13
sustainability forest,12
sustainable forest,12
treatment area,12
res crossref,12
multi criteria,11
priority levels,11
prescription stand,11
silvicultural alternative,10
normal forest,10
lgp model,10
cutting secondary,10
secondary cutting,10
crossref diaz,10
criteria indicators,9
minimum harvest,9
harvest area,9
crossref pubmed,9
ecol manag,9
multi aged,8
