trigram,count
sustainable forest management,11
cutting secondary cutting,10
crossref diaz balteiro,10
sustainability forest management,9
minimum harvest area,9
ecol manag crossref,9
environ manag crossref,7
criteria decision making,6
forest management planning,6
end planning horizon,6
net present value,6
lexicographic goal programming,5
strategic forest planning,5
seeding cutting secondary,5
secondary cutting secondary,5
secondary cutting final,5
cutting final cutting,5
gonzalez pachon romero,5
ecol ind crossref,5
goal programming model,4
green tree retention,4
forest planning model,4
criteria belonging type,4
area bau1 area,4
area bau2 area,4
area gtr1 area,4
area gtr2 area,4
area tnp area,4
ideal management gini,4
management gini index,4
