bigram,count
environmental impacts,39
tree growing,31
growing phase,31
potential environmental,25
industrial phase,25
environmental economic,24
production systems,22
life cycle,20
available online,19
sawn wood,17
climate change,16
online http,15
decision making,14
agricultural industrial,13
human toxicity,12
pine eucalyptus,11
forest production,11
industrial phases,11
production cellulose,11
pine wood,11
functional unit,11
net emissions,11
carbon credits,10
production wood,10
per hectare,10
ozone formation,10
economic criteria,10
pdf accessed,10
forests planted,9
cycle assessment,9
