trigram,count
tree growing phase,31
potential environmental impacts,24
available online http,15
agricultural industrial phases,11
forest production systems,9
life cycle assessment,9
photochemical ozone formation,9
environmental economic criteria,9
mato grosso sul,8
human toxicity ecotoxicity,8
sale carbon credits,8
forests planted productive,7
planted productive purposes,7
center west region,7
forests peer review,7
west region brazil,6
life cycle cost,6
cycle cost analysis,6
pine sawn wood,6
systems production wood,6
peer review figure,6
per hectare year,6
ozone formation acidification,6
tons co2 per,6
environmental impacts tree,6
impacts tree growing,6
psg ecpc psg,6
clean prod crossref,6
state mato grosso,5
eucalyptus sawn wood,5
