bigram,count
core area,45
efficient solutions,28
net present,24
connectivity index,24
multi objective,23
tree search,23
present value,23
monte carlo,22
harvest scheduling,19
keep efficient,19
operational research,18
carlo tree,17
constantino martins,17
european operational,16
pareto front,16
clearcut area,15
probability connectivity,15
neto constantino,15
habitat area,14
total core,14
total area,12
area habitats,11
area total,11
martins european,11
constraints clearcut,10
total habitat,10
forest patches,10
inter habitat,9
mixed integer,9
integer programming,9
