trigram,count
net present value,22
monte carlo tree,17
carlo tree search,17
european operational research,16
probability connectivity index,15
neto constantino martins,15
total core area,14
constantino martins european,11
martins european operational,11
total habitat area,10
constraints clearcut area,9
keep efficient solutions,9
multi objective monte,8
objective monte carlo,8
canadian forest research,8
objective harvest scheduling,7
harvest scheduling problem,7
area total core,7
multi objective optimization,7
core area habitats,6
number efficient solutions,6
habitat area total,5
inter habitat connections,5
total area forest,5
area forest patches,5
forest patches minimum,5
patches minimum area,5
mixed integer programming,5
weighted sum method,5
edge core area,5
