trigram,count
simple local search,19
local beam search,15
multi start local,15
start local search,15
simulated annealing simple,11
annealing simple local,11
san pedro alto,10
forest management plan,10
local search sls,8
simulated annealing local,8
search sls simulated,7
sls simulated annealing,7
annealing local beam,7
beam search slbs,7
search slbs simulated,7
slbs simulated annealing,7
simulated annealing multi,7
annealing multi start,7
local search smts,7
local search local,6
search local beam,6
mixed integer nonlinear,6
current forest management,5
beam search lbs,5
search lbs multi,5
lbs multi start,5
local search mts,5
triad zoning approach,4
forest planning problems,4
best known value,4
