bigram,count
supply chain,117
equation equation,63
forest supply,50
objective function,43
wood chips,28
harvest site,26
period time,24
capacity facility,24
transport trucks,21
facility period,19
harvesting sites,18
storage capacity,18
res crossref,17
multi objective,16
harvester machine,16
customer zone,16
objective functions,15
mathematical model,15
decision making,15
supply chains,15
wood residues,15
chipper machine,15
trucks carrying,15
forest industry,14
lost demands,14
biomass supply,14
trucks facility,14
proposed model,12
demand zone,12
discount level,12
