trigram,count
equation equation equation,60
forest supply chain,48
storage capacity facility,13
supply chain network,11
transport trucks facility,11
trucks carrying logs,11
sustainable forest supply,10
supply chain management,10
oper res crossref,10
customer zone period,9
trucks facility customer,9
facility customer zone,9
number trucks carrying,9
strategic tactical operational,8
biomass supply chain,8
clean prod crossref,8
supply chain considering,7
economic social environmental,7
multi period multi,7
sustainable supply chain,7
wood chips transport,7
maximum storage capacity,7
zone period time,7
customer zone discount,7
zone discount interval,7
harvest site period,7
facility period amount,7
period time number,7
time number rented,7
period multi product,6
