bigram,count
forest land,406
land quality,157
quality forest,65
land protection,38
grade forest,38
quality evaluation,33
spatial distribution,33
protection zoning,29
topsis model,25
evaluation indicator,25
climate change,24
hubei province,23
spatial autocorrelation,22
hefeng county,20
protection zones,20
quality index,20
forest fires,19
indicator system,19
average annual,17
evaluation unit,17
land degradation,16
soil type,15
distribution forest,14
soil fertility,14
soil layer,14
land subcompartment,13
fourth grade,13
mountain areas,13
province china,12
mainly distributed,12
