trigram,count
forest land quality,152
quality forest land,64
forest land protection,38
grade forest land,38
land quality evaluation,29
land protection zoning,21
land quality index,18
distribution forest land,13
evaluation indicator system,13
forest land subcompartment,13
hubei province china,11
local indicator spatial,10
land protection zones,10
soil organic matter,10
soil layer thickness,10
pso topsis model,9
indicator spatial association,9
forest land mainly,9
layer thickness soil,9
spatial distribution forest,8
land quality grades,8
forest land resources,8
quality evaluation indicator,8
characteristics forest land,8
forest disaster grade,8
fourth grade forest,8
area proportion area,8
proportion area proportion,8
hefeng county hubei,7
county hubei province,7
