bigram,count
tree level,32
multi objective,21
tree selection,19
tree regions,17
harvest blocks,16
laser scanning,15
forest planning,14
forest management,14
spatial goals,10
tree detection,10
level forest,10
forest inventory,10
value increment,10
stone pine,9
harvested trees,9
tree height,9
tree value,9
airborne laser,8
spatial optimization,8
individual tree,8
objective optimizations,8
relative value,8
merchantable volume,8
perimeter boundary,7
single objective,7
training area,7
selection trees,7
tree canopies,6
mip optimization,6
level data,5
