trigram,count
tree level forest,10
airborne laser scanning,8
relative value increment,7
individual tree detection,6
level forest planning,6
tree level data,5
perimeter boundary minimization,5
forest management planning,5
safe separation distance,5
separation distance score,5
single objective optimizations,5
mixed integer programming,4
stone pine forests,4
tree merchantable volume,4
merchantable volume tree,4
tree selection models,3
canopy height model,3
terrestrial laser scanning,3
multi objective solutions,3
multi objective optimization,3
dbh tree height,3
height gap adjacent,3
multi objective plans,3
number harvest blocks,3
forest planning tree,2
planning tree level,2
center global discovery,2
global discovery conservation,2
discovery conservation science,2
conservation science arizona,2
