bigram,count
supply chain,101
co2 emissions,63
sub opt,54
collection centers,46
employment cost,45
total profit,32
truck type,31
collection center,28
plant period,28
raw material,25
biofuel supply,24
critical points,22
consumption centers,21
process plant,21
co2 sub,20
opt profit,20
lignocellulosic biomass,18
ton ton,18
ghg emissions,17
pre treatment,17
increase cpi,17
case study,16
values cop,15
chain design,14
mathematical model,14
opt sub,14
cop trip,14
consumption center,13
per period,13
supply chains,12
