trigram,count
co2 sub opt,20
sub opt profit,20
biofuel supply chain,17
supply chain design,14
sub opt sub,14
opt sub opt,14
ton ton ton,13
plants collection centers,12
min co2 emissions,12
profit sub opt,12
cost truck type,12
sustainable supply chain,10
profit employment cost,10
opt profit sub,10
supply chain network,8
centers collection centers,8
sustainability peer review,8
co2 emissions total,8
emissions total profit,8
total profit employment,8
process plant period,8
supply centers collection,7
sub opt co2,7
opt co2 sub,7
raw material type,7
collection center plant,7
cop trip cop,7
trip cop trip,7
economic environmental social,6
biomass supply chain,6
