bigram,count
pareto frontier,77
ecosystem services,26
paiva north,20
soil erosion,19
multi objective,17
pareto hull,17
cork oak,16
forest management,15
paiva south,14
maritime pine,13
wood flow,13
integer programming,12
case study,12
planning horizon,12
decision maps,12
frontier moip,12
management planning,11
edgeworth pareto,11
study area,11
pedunculate oak,11
paredes penafiel,11
convex hull,11
north paiva,11
results assigning,11
pareto frontiers,10
flow fluctuation,10
period results,10
multiple criteria,9
moip problems,9
decision variables,9
