trigram,count
pareto frontier moip,12
paiva north paiva,11
north paiva south,11
period results assigning,10
case study area,9
wood flow fluctuation,9
edgeworth pareto hull,9
forest management planning,8
tradeoffs ecosystem services,8
total amount wood,8
forests peer review,7
twood total amount,7
multi objective integer,6
convex edgeworth pareto,6
approximation pareto frontier,6
pareto optimal solutions,6
south paredes penafiel,6
stands maritime pine,6
maximize minimize subject,6
convex pareto hull,6
figure tradeoffs ecosystem,6
amount wood harvested,6
wood harvested thinned,6
harvested thinned x106,6
thinned x106 eros,6
x106 eros representing,6
eros representing total,6
representing total soil,6
total soil erosion,6
soil erosion x106,6
