bigram,count
ecosystem services,82
multi objective,35
ecosystem service,23
trade offs,20
carbon balance,18
gini index,17
boreal forests,13
objective forestry,12
utility functions,12
production levels,11
several ecosystem,11
forestry carbon,11
climate change,11
amount deadwood,10
broadleaf volume,10
forest management,10
boreal forest,9
forest landscape,9
economic profitability,9
level ecosystem,9
harvested timber,8
service indicators,8
wood products,8
increases production,7
production ecosystem,7
continuous cover,7
levels ecosystem,7
production possibility,7
single objective,7
harvested volume,7
