trigram,count
multi objective forestry,11
several ecosystem services,11
forestry carbon balance,10
ecosystem service indicators,8
level ecosystem services,8
increases production ecosystem,6
production ecosystem services,6
multiple ecosystem services,6
single multi objective,6
economic profitability forestry,6
continuous cover forestry,6
levels ecosystem services,6
objective forestry increases,5
forestry increases production,5
volume economic profitability,5
multi objective management,5
multi objective plans,5
objective gini index,5
levels several ecosystem,4
boreal forest landscape,4
carbon balance biodiversity,4
pareto optimal plans,4
weights ecosystem service,4
carbon balance amount,4
trade offs correlations,4
amount dead wood,4
treatment schedules simulated,4
npv harvested volume,4
figure appears colour,4
appears colour online,4
