bigram,count
forest owners,54
forest management,52
sub criteria,44
decision making,36
vale sousa,28
market agents,25
criteria sub,24
public administration,23
highest weight,23
civil society,22
group decision,21
multicriteria questionnaire,19
interest group,18
pedunculate oak,17
decision analysis,16
actors preferences,16
among actors,16
management planning,15
cultural services,15
maritime pine,15
cognitive mapping,14
sub criterion,14
highest performance,13
group analysis,12
cognitive map,11
income sources,11
mcda group,11
consensus convergence,11
convergence algorithm,11
marlene marques,10
