trigram,count
criteria sub criteria,24
group decision making,21
forest management planning,12
mcda group decision,10
consensus convergence algorithm,10
diversification income sources,9
forest owners group,9
decision making process,8
multicriteria decision analysis,7
leisure recreation activities,7
forest owners managers,7
market agents public,7
agents public administration,7
intra group analysis,7
highest performance pedunculate,6
performance pedunculate oak,6
combined mcda group,6
sub criteria weights,6
civil society forest,6
society forest owners,6
assigned highest weight,6
civil society group,6
market agents group,6
importance criteria sub,5
case study area,5
actors assigned highest,5
agreement among actors,5
actors forest owners,5
decision making approach,5
eucalypt maritime pine,5
